SampleID	Root;Other;Other	Root;k__Bacteria;Other	Root;k__Bacteria;p__Acidobacteria	Root;k__Bacteria;p__Actinobacteria	Root;k__Bacteria;p__Armatimonadetes	Root;k__Bacteria;p__BRC1	Root;k__Bacteria;p__Bacteroidetes	Root;k__Bacteria;p__Chlorobi	Root;k__Bacteria;p__Chloroflexi	Root;k__Bacteria;p__Cyanobacteria	Root;k__Bacteria;p__Firmicutes	Root;k__Bacteria;p__Fusobacteria	Root;k__Bacteria;p__GN02	Root;k__Bacteria;p__Gemmatimonadetes	Root;k__Bacteria;p__Nitrospirae	Root;k__Bacteria;p__OP11	Root;k__Bacteria;p__Planctomycetes	Root;k__Bacteria;p__Proteobacteria	Root;k__Bacteria;p__SC4	Root;k__Bacteria;p__SM2F11	Root;k__Bacteria;p__SPAM	Root;k__Bacteria;p__SR1	Root;k__Bacteria;p__Spirochaetes	Root;k__Bacteria;p__Synergistetes	Root;k__Bacteria;p__TM7	Root;k__Bacteria;p__Tenericutes	Root;k__Bacteria;p__Thermi	Root;k__Bacteria;p__Verrucomicrobia	Root;k__Bacteria;p__WPS-2	Root;k__Bacteria;p__ZB2
Hand105	0.0	0.0	0.0	0.733333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.266666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand107	0.0	0.00199322304166	0.000398644608332	0.856687263305	0.0	0.0	0.00279051225832	0.0	0.000398644608332	0.00259118995416	0.0546143113414	0.00259118995416	0.0	0.0	0.0	0.0	0.0	0.0771377317122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000797289216663	0.0	0.0	0.0
Hand23	0.0	0.000983042516589	0.000245760629147	0.762349471615	0.0	0.0	0.010076185795	0.0	0.000983042516589	0.0115507495699	0.0447284345048	0.000491521258294	0.0	0.0	0.0	0.0	0.000737281887442	0.166379945933	0.0	0.0	0.0	0.0	0.0	0.0	0.00147456377488	0.0	0.0	0.0	0.0	0.0
Hand24	0.0	0.0	0.0	0.70736629667	0.0	0.0	0.0128657921292	0.0	0.000756811301715	0.0156407669021	0.0383451059536	0.00050454086781	0.0	0.00050454086781	0.0	0.0	0.00050454086781	0.222754793138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000252270433905	0.00050454086781	0.0	0.0	0.0
Hand25	0.0	0.00178117048346	0.000254452926209	0.844020356234	0.0	0.0	0.00534351145038	0.0	0.00101781170483	0.00661577608142	0.0297709923664	0.000508905852417	0.0	0.0	0.0	0.0	0.0	0.110178117048	0.0	0.0	0.0	0.0	0.0	0.0	0.000254452926209	0.0	0.0	0.000254452926209	0.0	0.0
Hand26	0.0	0.00131233595801	0.0	0.842782152231	0.0	0.0	0.00367454068241	0.0	0.0	0.00209973753281	0.0372703412073	0.0	0.0	0.0	0.0	0.0	0.0	0.112860892388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand27	0.0	0.00164880461665	0.000412201154163	0.819455894477	0.0	0.0	0.00206100577082	0.0	0.000412201154163	0.00700741962077	0.045548227535	0.000824402308326	0.0	0.0	0.0	0.0	0.0	0.121805441055	0.0	0.0	0.0	0.0	0.0	0.0	0.000618301731245	0.0	0.000206100577082	0.0	0.0	0.0
Hand28	0.0	0.0023657440265	0.00023657440265	0.81428909392	0.00212916962385	0.0	0.00709723207949	0.0	0.000709723207949	0.0108824225219	0.0421102436716	0.0	0.0	0.0	0.0	0.0	0.0	0.120179796546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand29	0.0	0.001092001092	0.000546000546001	0.870870870871	0.0	0.0	0.011739011739	0.0	0.0	0.00273000273	0.041223041223	0.0	0.0	0.000819000819001	0.0	0.0	0.0	0.0693420693421	0.0	0.0	0.0	0.0	0.0	0.000273000273	0.000273000273	0.0	0.001092001092	0.0	0.0	0.0
Hand30	0.0	0.00732031943212	0.0272848269743	0.725598935226	0.000887311446318	0.0	0.0086512866016	0.0	0.0075421472937	0.00820763087844	0.034826974268	0.0011091393079	0.000221827861579	0.00488021295475	0.00177462289264	0.0	0.000221827861579	0.168145519077	0.0	0.0	0.00133096716948	0.0	0.0	0.0	0.000665483584738	0.0	0.0	0.0	0.000665483584738	0.000665483584738
Hand31	0.0	0.000223313979455	0.0	0.788298347477	0.000669941938365	0.0	0.00625279142474	0.0	0.0	0.0158552925413	0.0518088432336	0.0	0.0	0.0	0.0	0.0	0.00044662795891	0.136444841447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand32	0.000251414204903	0.00377121307354	0.00188560653677	0.796983029541	0.000628535512256	0.0	0.00967944688875	0.0	0.00100565681961	0.00905091137649	0.0443746071653	0.00100565681961	0.0	0.000502828409805	0.0	0.0	0.0	0.129604022627	0.0	0.0	0.0	0.0	0.0	0.0	0.000125707102451	0.000502828409805	0.000377121307354	0.000251414204903	0.0	0.0
Hand33	0.0	0.0	0.0	0.851347166305	0.0	0.0	0.0071229482812	0.0	0.0	0.00557448126355	0.0576029730567	0.0	0.0	0.0	0.0	0.0	0.0	0.0780427376897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000309693403531	0.0	0.0	0.0
Hand34	0.0	0.00198807157058	0.0	0.878727634195	0.0	0.0	0.00745526838966	0.0	0.0	0.00596421471173	0.0392644135189	0.000994035785288	0.0	0.000994035785288	0.0	0.000497017892644	0.0	0.0641153081511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand35	0.0	0.00081516201345	0.000407581006725	0.831669044223	0.0	0.0	0.00713266761769	0.0	0.00122274302018	0.00509476258406	0.0432035867129	0.00122274302018	0.0	0.0	0.0	0.0	0.0	0.107601385775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00142653352354	0.000203790503363	0.0	0.0	0.0
Hand36	0.0	0.000519885625162	0.0	0.885365219652	0.0	0.0	0.00207954250065	0.0	0.0	0.00311931375097	0.0267741096959	0.0	0.0	0.0	0.0	0.0	0.0	0.0821419287757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hand38	0.0	0.00300751879699	0.00107411385607	0.8283566058	0.000859291084855	0.0	0.0137486573577	0.0	0.000429645542427	0.0094522019334	0.0487647690655	0.000429645542427	0.0	0.0	0.0	0.0	0.0	0.0932330827068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000644468313641	0.0	0.0	0.0	0.0
Hand39	0.0	0.00160256410256	0.00240384615385	0.862179487179	0.0	0.0	0.00240384615385	0.0	0.00240384615385	0.00480769230769	0.0288461538462	0.00160256410256	0.0	0.000801282051282	0.0	0.0	0.0	0.0921474358974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000801282051282	0.0	0.0	0.0
